1.a art.一(个)；每一(个)
849.contribute vt.捐献，捐助；投稿
850.control vt.控制，克制 n.控制
851.convenience n.便利，方便；厕所
852.convenient a.便利的；近便的
853.convention n.习俗，惯例；公约
854.conventional a.普通的；习惯的
855.conversation n.会话，非正式会谈
856.conversely ad.相反地
857.conversion n.转变，转化；改变
858.convert vt.使转变；使改变
859.convey vt.传送；运送；传播
860.convince vt.使确信，使信服
861.cook vt.烹调，煮 vt.烧菜
862.cool a.凉的，冷静的
863.cooperate vi.合作，协作；配合
864.coordinate vt.使协调，调节
865.cope vi.对付，应付
866.copper n.铜；铜币，铜制器
867.copy n.抄件 vt.抄写，复制
868.cord n.细绳，粗线，索
869.cordial a.真诚的，诚恳的
870.core n.果实的心，核心
871.corn n.谷物；(英)小麦
872.corner n.角；犄角；边远地区
873.corporation n.公司，企业；社团
874.correct a.正确的 vt.纠正
875.correction n.改正，纠正，修改
876.correspond vi.相符合；相当
877.correspondent n.通信者；通讯员
878.corresponding a.相应的；符合的
879.corridor n.走廊，回廊，通路
880.cost n.价格，代价；成本
881.costly a.昂贵的；价值高的
882.cottage n.村舍，小屋
883.cotton n.棉；棉线；棉布
884.cough vi.咳，咳嗽 n.咳嗽
885.could aux.v.(can的过去式)
886.council n.理事会，委员会
887.count vt.计算 vi.数，计数
888.counter n.柜台；计数器
889.country n.国家，国土；农村
890.countryside n.乡下，农村
891.county n.英国的郡，美国的县
892.couple n.夫妇；(一)对；几个
893.courage n.勇气，胆量，胆识
894.course n.课程；过程；一道菜
895.court n.法院，法庭；庭院
896.cousin n.堂(或表)兄弟(姐妹)
897.cover vt.盖，包括 n.盖子
898.cow n.母牛，奶牛；母兽
899.coward n.懦夫；胆怯者
900.crack n.裂缝，裂纹 vi.爆裂
901.craft n.工艺；手艺，行业
902.crane n.起重机，摄影升降机
903.crash vi.碰撞，坠落 n.碰撞
904.crawl vi.爬，爬行
905.crazy a.疯狂的，荒唐的
906.cream n.奶油，乳脂；奶油色
907.create vt.创造；引起，产生
908.creative a.创造性的，创作的
909.creature n.生物，动物，家畜
910.credit n.信用贷款；信用
911.creep vi.爬行；缓慢地行进
912.crew n.全体船员
913.cricket n.板球；蟋蟀
914.crime n.罪，罪行；犯罪
915.criminal n.犯人，罪犯，刑事犯
916.cripple n.跛子；残废的人
917.crisis n.危机；存亡之际
918.critic n.批评家，爱挑剔的人
919.critical a.决定性的；批评的
920.criticism n.批评；批判；评论
921.criticize vt.批评；评论；非难
922.crop n.农作物，庄稼；一熟
923.cross vt.穿过；使交*
924.crow n.鸦，乌鸦 vi.啼
925.crowd n.群；大众；一伙人
926.crown n.王冠，冕；花冠
927.crude a.简陋的；天然的
928.cruel a.残忍的，残酷的
929.crush vt.压碎，碾碎；镇压
930.crust n.面包皮；硬外皮
931.cry vi.哭，哭泣；叫喊
932.crystal n.水晶，结晶体；晶粒
933.cube n.立方形；立方
934.cubic a.立方形的；立方的
935.cucumber n.黄瓜
936.cultivate vt.耕；种植；培养
937.culture n.文化，文明；教养
938.cunning a.狡猾的，狡诈的
939.cup n.杯子；(一)杯；奖杯
940.cupboard n.碗柜，碗碟橱；食橱
941.cure vt.医治；消除 n.治愈
942.curiosity n.好奇，好奇心；珍品
943.curious a.好奇的；稀奇古怪的
944.curl n.卷毛；螺旋 vi.卷曲
945.current a.当前的；通用的
946.curse n.诅咒，咒骂；天谴
947.curtain n.帘，窗帘；幕(布)
948.curve n.曲线；弯 vt.弄弯
949.cushion n.垫子，坐垫，*垫
950.custom n.习惯，风俗；海关
951.customer n.顾客，主顾
952.cut vt.切，割，剪；减少
953.cycle n.自行车，循环 
954.daily a.每日的 n.日报
955.dairy n.牛奶场；乳制品
956.dam n.水坝，水堤；障碍物
957.damage vt.损害，毁坏 n.损害
958.damp a.潮湿的，有湿气的
959.dance vi.跳舞；摇晃 n.舞
960.danger n.危险；危险事物
961.dangerous a.危险的，不安全的
962.dare vt.&aux.v.敢；竟敢
963.daring a.大胆的，勇敢的
964.dark a.暗的；黑色的
965.darling n.亲爱的人；宠儿
966.dash vt.使猛撞；溅 n.猛冲
967.data n.数据; 资料
968.date n.日期 vt.注…日期
969.daughter n.女儿
970.dawn n.黎明；开端 vi.破晓
971.day n.(一)天，白昼，白天
972.daylight n.白昼，日光；黎明
973.dead a.死的，无生命的
974.deadly a.致命的，死一般的
975.deaf a.聋的；不愿听的
976.deal n.买卖；待遇 vt.给予
977.dear a.亲爱的 int.啊
978.death n.死，死亡；灭亡
979.debate n.&vi.争论，辩论
980.debt n.债，债务，欠债
981.decade n.十年，十年期
982.decay vi.腐烂；衰败 n.腐烂
983.deceit n.欺骗，欺诈
984.deceive vt.欺骗，蒙蔽，行骗
985.December n.十二月
986.decent a.正派的；体面的
987.decide vt.决定，决心；解决
988.decision n.决定，决心；果断
989.deck n.甲板；舱面；层面
990.declare vt.断言；声明；表明
991.decorate vt.装饰，装璜，修饰
992.decrease vi.&n.减少，减少
993.deduce vt.演绎，推论，推断
994.deed n.行为；功绩；契约
995.deep a.深的；纵深的
996.deepen vt.加深 vi.深化
997.deer n.鹿
998.defeat vt.战胜，击败；挫败
999.defect n.缺点，缺陷，欠缺
1000.defence n.防御；防务；辩护
1001.defend vt.保卫，防守
1002.define vt.给…下定义；限定
1003.definite a.明确的；肯定的
1004.definitely ad.一定地，明确地
1005.definition n.定义，释义；定界
1006.degree n.程度；度；学位
1007.delay vt.推迟；耽搁；延误
1008.delete vt.删除；擦掉
1009.delegation n.代表团
1010.delicate a.纤细的；易碎的
1011.delicious a.美味的，怡人的
1012.delight n.快乐 vt.使高兴
1013.deliver vt.投递，送交；发表
1014.delivery n.投递；交付；分娩
1015.demand vt.要求；需要；询问
1016.democracy n.民主，民主制
1017.democratic a.民主的，民主政体的
1018.demonstrate vt.说明；论证；表露
1019.dense a.密集的；浓厚的
1020.density n.密集，稠密；密度
1021.deny vt.否定；拒绝相信
1022.depart vi.离开，起程；出发
1023.department n.部，司，局，处，系
1024.departure n.离开，出发，起程
1025.depend vi.依*，依赖；相信
1026.dependent a.依*的，依赖的
1027.deposit vt.使沉淀；存放
1028.depress vt.使沮丧；按下
1029.depth n.深度；深厚；深处
1030.derive vt.取得 vi.起源
1031.descend vi.下来，下降；下倾
1032.describe vt.形容；描写，描绘
1033.description n.描写，形容；种类
1034.desert n.沙漠 vt.离弃；擅离
1035.deserve vt.应受，值得
1036.design vt.设计 n.设计；图样
1037.desirable a.值得相望的；可取的
1038.desire vt.相望；要求 n.愿望
1039.desk n.书桌，办公桌
1040.despair n.绝望 vi.绝望
1041.desperate a.拼死的；绝望的
1042.despise vt.鄙视，蔑视
1043.despite prep.不管，不顾
1044.destination n.目的地，终点；目标
1045.destroy vt.破坏；消灭；打破
1046.destruction n.破坏，毁灭，消灭
1047.detail n.细节；枝节；零件
1048.detect vt.察觉，发觉；侦察
1049.detection n.察觉，发觉；侦察
1050.determination n.决心；决定；确定
1051.determine vt.决定；查明；决心
1052.develop vt.发展；形成；开发
1053.development n.发展；开发；生长
1054.device n.器械，装置；设计
1055.devil n.魔鬼，恶魔
1056.devise vt.设计，发明
1057.devote vt.将…奉献，致力于
1058.dew n.露，露水
1059.diagram n.图解，图表，简图
1060.dial n.钟面；拨号盘 vt.拨
1061.dialect n.方言，土语，地方话
1062.dialog n.对话，对白
1063.diameter n.直径
1064.diamond n.金钢石，钻石；菱形
1065.diary n.日记，日记簿
1066.dictate vt.&vi.口授；命令
1067.dictation n.口授笔录，听写
1068.dictionary n.词典，字典
1069.die vi.死，死亡；灭亡
1070.differ vi.不同，相异
1071.difference n.差别；差；分歧
1072.different a.差异的；各种的
1073.difficult a.困难的；难对付的
1074.difficulty a.困难；难事；困境
1075.dig vt.掘，挖；采掘
1076.digest vt.消化；领会 n.文摘
1077.digital a.数字的，计数的
1078.diligent a.勤勉的，勤奋的
1079.dim a.昏暗的；朦胧的
1080.dimension n.尺寸，尺度；面积
1081.dinner n.正餐，主餐；宴会
1082.dip vt.浸，蘸 vi.浸一浸
1083.direct a.直接的；直率的
1084.direction n.方向，方位；指导
1085.directly ad.直接地；立即
1086.director n.指导者；理事；导演
1087.dirt n.尘，土；污物，污垢
1088.dirty a.脏的；下流的
1089.disable vt.使无能，使伤残
1090.disadvantage n.不利，不利地位
1091.disagree vi.有分歧；不一致
1092.disappear vi.不见，失踪；消失
1093.disappoint vt.使失望，使受挫折
1094.disaster n.灾难，灾祸；天灾
1095.disk n.圆盘，唱片；磁盘
1096.discard vt.丢弃，抛弃，遗弃
1097.discharge vt.释放；排出 n.释放
1098.discipline n.纪律；训练 vt.训练
1099.disclose vt.揭开，揭发；透露
1100.discourage vt.使泄气，使灰心
1101.discover vt.发现；暴露，显示
1102.discovery n.发现；被发现的事物
1103.discuss vt.讨论，谈论；论述
1104.discussion n.讨论，谈论；论述
1105.disease n.病，疾病；病害
1106.disguise vi.隐瞒，掩埋 n.假装
1107.disgust n.厌恶，憎恶
1108.dish n.碟，盘子；菜肴
1109.dishonour n.不光彩；丢脸的人
1110.dislike vt.&n.不喜爱，厌恶
1111.dismiss vt.不再考虑；解雇
1112.disorder n.混乱，杂乱；骚乱
1113.display vt.陈列，展览；显示
1114.disposal n.丢掉，处理，销毁
1115.dispose vi.去掉，丢掉；销毁
1116.displease vt.使不愉快，使生气
1117.dispute vi.争论，争执 n.争论
1118.dissatisfy vi.使不满，使不平
1119.dissolve vt.使溶解；解散
1120.distance n.距离，间距；远处
1121.distant a.在远处的，疏远的
1122.distinct a.与其他不同的
1123.distinction n.差别，不同，区分
1124.distinguish vt.区别，辨别，认别
1125.distress n.忧虑，悲伤；不幸
1126.distribute vt.分发，分送；分布
1127.distribution n.分发，分配；分布
1128.district n.区；地区，区域
1129.disturb vt.打扰，扰乱；弄乱
1130.ditch n.沟，沟渠，渠道
1131.dive vi.跳水；潜水；俯冲
1132.diverse a.不一样的，相异的
1133.divide vt.分；分配；分开
1134.division n.分，分配；除法
1135.divorce n.离婚，离异 vi.离婚
1136.do aux.v. vt.做，干，办
1137.dock n.船坞；码头；船厂
1138.doctor n.医生，医师；博士
1139.document n.公文，文件；证件
1140.dog n.狗，犬，犬科动物
1141.dollar n.元(货币单位)
1142.domestic a.本国的；家庭的
1143.donkey n.驴；笨蛋
1144.door n.门，通道；一家
1145.dorm n.宿舍
1146.dormitory n.集体寝室；宿舍
1147.dose n.剂量，用量；一剂
1148.dot n.点，圆点 vt.打点于
1149.double a.两倍的；双的
1150.doubt n.怀疑；疑虑 vt.怀疑
1151.doubtful a.难以预测的；怀疑的
1152.doubtless ad.无疑地；很可能
1153.down ad.向下，在下面
1154.downstairs ad.在楼下 a.楼下的
1155.downward a.向下的 ad.向下地
1156.dozen n.一打，十二个
1157.draft n.草稿；汇票 vt.起草
1158.drag vt.拖，拉；拖曳
1159.dragon n.龙；凶暴的人
1160.drain vt.排去；放水 n.耗竭
1161.drama n.一出戏剧，剧本
1162.dramatic a.引人注目的，戏剧的
1163.draw vt.画，划；拖；拨出
1164.drawer n.抽屉
1165.drawing n.图画，素描；绘图
1166.dread n.畏惧；恐怖 vt.惧怕
1167.dream n.梦；梦想 vi.做梦
1168.dress n.女服，童装；服装
1169.drift vi.漂流，漂泊 n.漂流
1170.drill n.钻头；操练 vi.钻孔
1171.drink vt.饮 vi.喝 n.饮料
1172.drip vi.滴下；漏水 n.水滴
1173.drive vt.驾驶；打入；驱
1174.driver n.驾驶员，司机
1175.drop vt.使落下；降低
1176.drought n.旱灾，干旱
1177.drown vi.淹死，溺死
1178.drug n.药，药物，药材
1179.drum n.鼓；鼓状物，圆桶
1180.drunk a.醉的；陶醉的
1181.dry a.干的，干燥的
1182.duck n.鸭，雌鸭；鸭肉
1183.due a.预期的；应给的
1184.dull a.枯燥的；不鲜明的
1185.dumb a.哑的；无言的
1186.dump vt.倾卸，倾倒；倾销
1187.durable a.耐久的，耐用的
1188.duration n.持续，持久
1189.during prep.在…期间
1190.dusk n.薄暮，黄昏，幽暗
1191.dust n.尘土，灰尘
1192.duty n.职责；责任；税
1193.dwelling n.住处，寓所
1194.dye vt.染 n.染料；染色
1195.dying a.垂死的；临终的
1196.dynamic a.有活力的；动力的
1197.each pron.各，各自 a.各
1198.eager a.渴望的，热切的
1199.eagle n.鹰
1200.ear n.耳朵；听力，听觉
1201.early ad.早 a.早的，早期的
1202.earn vt.赚得，挣得；获得
1203.earnest a.认真的，诚恳的
1204.earth n.地球；陆地，地面
1205.earthquake n.地震；大震荡
1206.ease n.容易，舒适 vt.缓和
1207.easily ad.容易地；舒适的
1208.east n.东；东部 ad.在东方
1209.eastern a.东方的；朝东的
1210.easy a.容易的；安逸的
1211.eat vt.吃，喝 vi.吃饭
1212.echo n.回声，反响 vi.重复
1213.economic a.经济的，经济学的
1214.economical a.节约的；经济学的
1215.economy n.经济；节约，节省
1216.edge n.边缘，边；刀口
1217.edition n.版，版本，版次
1218.editor n.编辑，编者，校订者
1219.educate vt.教育；培养；训练
1220.education n.教育；训导；教育学
1221.effect n.结果；效果，效力
1222.effective a.有效的；有影响的
1223.efficiency n.效率；功效，效能
1224.efficient a.效率高的，有能力的
1225.effort n.努力；努力的成果
1226.egg n.蛋，鸡蛋，卵
1227.eight num.八，八个，第八
1228.eighteen num.十八，十八个
1229.eighth num.第八 n.八分之一
1230.eighty num.八十，八十个
1231.either pron.(两者)任何一个
1232.elaborate a.复杂的；精心制作的
1233.elastic n.松紧带 a.有弹性的
1234.elbow n.肘，肘部；弯管
1235.elder a.年龄较大的 n.长者
1236.elect vt.选举，推选；选择
1237.election n.选举，选择权；当选
1238.electric a.电的，电动的
1239.electrical a.电的，电气科学的
1240.electricity n.电，电学；电流
1241.electron n.电子
1242.electronic a.电子的
1243.electronics n.电子学
1244.element n.成分；要素；元素
1245.elementary a.基本的；初级的
1246.elephant n.象
1247.elevator n.电梯；升降机
1248.eleven num.十一，十一个
1249.eleventh num.第十一(个)
1250.eliminate vt.消灭，消除，排除
1251.elimination n.消灭，排除，消除
1252.else ad.其它，另外 a.别的
1253.elsewhere ad.在别处，向别处
1254.embarrass vt.使窘迫，使为难
1255.embrace vt.拥抱；包括；包围
1256.emerge vi.出现，涌现；冒出
1257.emergency n.紧急情况，突然事件
1258.emit vt.散发；发射；发表
1259.emotion n.情感，感情；激动
1260.emotional a.感情的，情绪的
1261.emperor n.皇帝
1262.emphasis n.强调，重点，重要性
1263.emphasize vt.强调，着重
1264.empire n.帝国
1265.employ vi.雇用；用；使忙于
1266.employee n.受雇者，雇员，雇工
1267.employer n.雇佣者，雇主
1268.employment n.工业；雇用；使用
1269.empty a.空的；空洞的
1270.enable vt.使能够，使可能
1271.enclose vt.围住，圈起；附上
1272.encounter vt.遭遇，遇到 n.遭遇
1273.encourage vt.鼓励，支持，助长
1274.end n.末端；目标 vt.结束
1275.ending n.结尾，结局；死亡
1276.endless a.无止境的
1277.endure vt.忍受；容忍
1278.enemy n.敌人；仇敌；敌兵
1279.energy n.活力；精力；能
1280.enforce vt.实施，执行；强制
1281.engage vt.使从事于；聘用
1282.engine n.发动机，引擎；机车
1283.engineer n.工程师，技师
1284.engineering n.工程，工程学
1285.England n.英格兰；英国
1286.English n.英语 a.英国人的
1287.Englishman n.英国男子
1288.enjoy vt.享受；欣赏，喜爱
1289.enlarge vt.扩大，扩展；放大
1290.enormous a.巨大的，庞大的
1291.enough a.足够的 ad.足够地
1292.ensure vt.保证；保护；赋予
1293.enter vt.走进，进入；参加
1294.entertain vt.使欢乐；招待
1295.enthusiasm n.热情，热心，热忱
1296.enthusiastic a.热情的，热心的
1297.entire a.全部的，整个的
1298.entitle vt.给…权利(或资格)
1299.entrance n.入口，门口；进入
1300.entry n.入口处；登记；进入
1301.envelope n.信封；封套；封皮
1302.environment n.环境，外界；围绕
1303.envy vt.&n.妒忌；羡慕
1304.equal a.相等的；平等的
1305.equality n.等同，平等；相等
1306.equation n.方程(式)；等式
1307.equip vt.装备，配备
1308.equipment n.装备，设备，配备
1309.equivalent a.相等的；等量的
1310.era n.时代，年代；纪元
1311.erect vt.建造；使竖立
1312.error n.错误，谬误；差错
1313.escape vi.逃跑；逸出 n.逃跑
1314.especially ad.特别，尤其，格外
1315.essay n.短文，散文，小品文
1316.essential a.必要的，本质的
1317.establish vt.建立，设立；确立
1318.establishment n.建立，设立，确立
1319.estimate vt.估计，评价 n.估计
1320.Europe n.欧洲
1321.European a.欧洲的 n.欧洲人
1322.evaluate vt.评价，估…的价
1323.evaporate vt.使蒸发 vi.蒸发
1324.eve n.前夜，前夕，前一刻
1325.even ad.甚至；甚至更，还
1326.even a.均匀的；平的
1327.evening n.傍晚，黄昏，晚上
1328.event n.事件，大事；事变
1329.eventually ad.终于；最后
1330.ever ad.在任何时候；曾经
1331.every a.每一的；每隔…的
1332.everybody pron.每人，人人
1333.everyday a.每天的，日常的
1334.everyone pron.每人，人人
1335.everything pron.每件事，事事
1336.everywhere ad.到处，处处
1337.evidence n.根据；证据，证人
1338.evident a.明显的，明白的
1339.evil n.邪恶；祸害 a.坏的
1340.evolution n.进化，演化；发展
1341.evolve vt.使进化；使发展
1342.exact a.确切的；精确的
1343.exactly ad.确切地；恰恰正是
1344.exaggerate vt.&vi.夸大，夸张
1345.exam n.考试；检查，细查
1346.examination n.考试；检查，细查
1347.examine vt.检查，仔细观察
1348.example n.例子，实例；模范
1349.exceed vt.超过，胜过；超出
1350.exceedingly ad.极端地，非常
1351.excellent a.优秀的，杰出的
1352.except prep.除…之外
1353.exception n.例外，除外
1354.excess n.超越；过量；过度
1355.excessive a.过多的，极度的
1356.exchange vt.交换；交流 n.交换
1357.excite vt.使激动；引起
1358.exciting a.令人兴奋的
1359.exclaim vi.呼喊；惊叫
1360.exclude vt.把…排除在外
1361.exclusively ad.专门地
1362.excursion n.远足；短途旅行
1363.excuse vt.原谅；免除 n.借口
1364.execute vt.将…处死；实施
1365.executive a.执行的 n.执行者
1366.exercise n.锻炼，训练 vi.练习
1367.exert vt.尽(力)，运用
1368.exhaust vt.使筋疲力尽；用尽
1369.exhibit vt.显示；陈列，展览
1370.exhibition n.展览，陈列；展览会
1371.exist vi.存在；生存，生活
1372.existence n.存在，实在；生存
1373.exit n.出口；退场 vi.退出
1374.expand vt.扩大；使膨胀
1375.expansion n.扩大，扩充；扩张
1376.expect vt.预料，预期；等待
1377.expectation n.期待，期望，预期
1378.expense n.花费，消费；费用
1379.expensive a.昂贵的，花钱多的
1380.experience n.经验，感受；经历
1381.experiment n.实验；试验
1382.experimental a.实验的，试验的
1383.expert n.专家 a.熟练的
1384.explain vt.解释；为…辩解
1385.explanation n.解释，说明；辩解
1386.explode vt.使爆炸 vi.爆炸
1387.exploit vt.剥削；利用；开拓
1388.explore vt.&vi.探险，探索
1389.explosion n.爆炸，爆发，炸裂
1390.explosive n.炸药 a.爆炸的
1391.export vt.输出，出口；运走
1392.expose vt.使暴露；揭露
1393.exposure n.暴露；揭露；曝光
1394.express vt.表示 n.快车，快递
1395.expression n.词句；表达；表情
1396.extend vt.延长；扩大；致
1397.extension n.延长部分；伸展
1398.extensive a.广阔的；广泛的
1399.extent n.广度；范围；程度
1400.exterior a.外部的；对外的
1401.external a.外部的，外面的
1402.extra a.额外的 ad.特别地
1403.extraordinary a.非同寻常的，特别的
1404.extreme a.极度的；尽头的
1405.extremely ad.极端，极其，非常
1406.eye n.眼睛；眼力；鉴赏力
1407.eyesight n.视力，目力 
1408.facility n.设备；容易；便利
1409.fact n.事实；实际，实情
1410.factor n.因素；因子，系数
1411.factory n.工厂，制造厂
1412.faculty n.才能，能力；系，科
1413.fade vi.褪色；逐渐消失
1414.Fahrenheit n.华氏温度计
1415.fail vi.失败；失灵；不能
1416.failure n.失败；失败的人
1417.faint a.微弱的；虚弱的
1418.fair a.公平的；相当的
1419.fair n.定期集市；博览会
1420.fairly ad.相当；公平地
1421.faith n.信任，信心；信仰
1422.faithful a.忠诚的；如实的
1423.fall vi.落下；跌倒；陷落
1424.false a.不真实的；伪造的
1425.fame n.名声，名望
1426.familiar a.熟悉的；冒昧的
1427.family n.家，家庭；家族
1428.famine n.饥荒；严重的缺乏
1429.famous a.著名的，出名的
1430.fan n.(运动等)狂热爱好者
1431.fan n.扇子，风扇 vt.扇
1432.fancy n.想象力；设想；爱好
1433.far a.远的 ad.远，遥远
1434.fare n.车费，船费，票价
1435.farewell int.再会 n.告别
1436.farm n.农场，农庄；饲养场
1437.farmer n.农民，农夫；农场主
1438.farther ad.更远地 a.更远的
1439.fashion n.样子，方式；风尚
1440.fashionable a.流行的，时髦的
1441.fast a.快的；偏快的 ad.快
1442.fasten vt.扎牢，扣住
1443.fatal a.致命的；命运的
1444.fate n.命运，天数
1445.father n.父亲；神父；创始人
1446.father-in-law n.岳父；公公
1447.fatigue n.疲劳，劳累
1448.fault n.缺点；过失；故障
1449.faulty a.有错误的，有缺点的
1450.favour n.好感；赞同；恩惠
1451.favourable a.有利的；赞成的
1452.favourite a.特别受喜爱的
1453.fear n.害怕；担心 vt.害怕
1454.fearful a.害怕的，可怕的
1455.feasible a.可行的；可能的
1456.feast n.盛宴，筵席；节日
1457.feather n.羽毛；翎毛；羽状物
1458.feature n.特征，特色；面貌
1459.February n.二月
1460.federal a.联邦的；联盟的
1461.fee n.费，酬金；赏金
1462.feeble a.虚弱的；微弱的
1463.feed vt.喂(养) vi.吃饲料
1464.feedback n.回授，反馈，反应
1465.feel vi.有知觉 vt.触，摸
1466.feeling n.感情；感觉，知觉
1467.fellow n.人，家伙；伙伴
1468.female n.雌性的动物；女子
1469.fence n.栅栏
1470.fertile a.肥沃的；多产的
1471.fertilizer n.肥料
1472.festival n.节日；音乐节
1473.fetch vt.拿来；请来，接去
1474.fever n.发热，发烧；狂热
1475.few a.很少的；少数的
1476.fibre n.纤维，纤维质
1477.fiction n.小说；虚构，杜撰
1478.field n.田野；田；运动场
1479.fierce a.凶猛的，狂热的
1480.fifteen num.十五；十五个
1481.fifth num.第五 n.五分之一
1482.fifty num.五十，五十个
1483.fight vi.打(仗)；斗争
1484.figure n.数字；外形；人物
1485.file n.档案 vt.把…归档
1486.fill vt.装满，盛满；占满
1487.film n.影片；胶卷；薄层
1488.filter vt.过滤 n.滤纸
1489.final a.最后的；决定性的
1490.finally ad.最后；不可更改的
1491.finance n.财政，金融；财源
1492.financial a.财政的，金融的
1493.find vt.找到；发觉；找出
1494.finding n.发现；调查的结果
1495.fine a.美好的；纤细的
1496.fine n.罚金，罚款
1497.finger n.手指；指状物
1498.finish vt.完成，结束 n.结束
1499.fire n.火；火灾 vi.开火
1500.fireman n.消防队员；司炉工
1501.firm n.商行，商号，公司
1502.first num.第一 ad.最初
1503.fish n.鱼，鱼肉 vi.钓鱼
1504.fisherman n.渔民，渔夫，打鱼人
1505.fist n.拳(头)
1506.fit vt.适合；安装vi.适合
1507.five num.五，五个，第五
1508.fix vt.使固定；决定
1509.flag n.旗，旗帜；旗舰旗
1510.flame n.火焰；光辉；热情
1511.flare vi.闪耀 vt.使闪亮
1512.flash n.闪光 vi.闪，闪烁
1513.flat a.平的，扁平的
1514.flat n.一套房间；单元住宅
1515.flavour n.味，味道；风味
1516.fleet n.舰队；船队，机群
1517.flesh n.肉，肌肉；肉体
1518.flexible a.易弯曲的；灵活的
1519.flight n.航班；飞行；逃跑
1520.float vi.漂浮 vt.使漂浮
1521.flock n.羊群，群；大量
1522.flood n.洪水 vt.淹没
1523.floor n.地板；楼层
1524.flour n.面粉，粉；粉状物质
1525.flourish vi.繁荣，茂盛，兴旺
1526.flow vi.流动；飘垂；涨潮
1527.flower n.花，花卉；开花
1528.flu n.流行性感冒
1529.fluent a.流利的，流畅的
1530.fluid n.流体，液体
1531.flush vi.奔流；(脸)发红
1532.fly n.蝇，苍蝇 vi.飞行
1533.focus vi.聚焦，注视 n.焦点
1534.fog n.雾；烟雾，尘雾
1535.fold vt.折叠；合拢 n.褶
1536.folk n.人们，家属，亲属
1537.follow vt.跟随；结果是
1538.following a.接着的；下列的
1539.fond a.喜爱的；溺爱的
1540.food n.食物，食品，养料
1541.fool n.蠢人，傻子 vt.欺骗
1542.foolish a.愚蠢的；鲁莽的
1543.foot n.脚；最下部；英尺
1544.football n.足球比赛；足球
1545.footstep n.脚步；脚步声；足迹
1546.for prep.为；给；因为
1547.forbid vt.禁止，不许；阻止
1548.force vt.强迫 n.力，力量
1549.forecast n.预测，预报 vt.预示
1550.forehead n.额头，前部
1551.foreign a.外国的；外来的
1552.foreigner n.外国人
1553.foremost a.最初的；第一流的
1554.forest n.森林；森林地带
1555.forever ad.永远，总是，老是
1556.forget vt.忘记，遗忘
1557.forgive vt.原谅，饶恕，宽恕
1558.fork n.餐*；*；分*
1559.form n.形式；形状 vt.形成
1560.formal a.正式的；礼仪上的
1561.formation n.形成；构成；形成物
1562.former a.在前的 n.前者
1563.formula n.公式，式
1564.forth ad.向前；向外，往外
1565.fortnight n.两星期，十四天
1566.fortunate a.幸运的，侥幸的
1567.fortunately ad.幸运地，幸亏
1568.fortune n.命运，运气；财产
1569.forty num.四十，第四十
1570.forward ad.向前；今后，往后
1571.found vt.创立，创办；建立
1572.foundation n.基础；地基；基金
1573.fountain n.泉水，喷泉；源泉
1574.four num.四，四个，第四
1575.fourteen num.十四，第十四
1576.fourth num.第四，四分之一
1577.fox n.狐狸；狡猾的人
1578.fraction n.小部分；片断；分数
1579.fragment n.碎片，破片，碎块
1580.frame n.框架，框子；构架
1581.framework n.框架，构架，结构
1582.France n.法国，法兰西
1583.frank a.坦白的，直率的
1584.free a.自由的；空闲的
1585.freedom n.自由；自主
1586.freely ad.自由地；直率地
1587.freeze vi.冻；结冻vt.使结冰
1588.freight n.货运；货物；运费
1589.French a.法国的 n.法国人
1590.frequency n.屡次；次数；频率
1591.frequent a.时常发生的；经常的
1592.frequently ad.时常，常常
1593.fresh a.新的；新鲜的
1594.friction n.摩擦，摩擦力
1595.Friday n.星期五
1596.fridge n.电冰箱
1597.friend n.朋友，友人
1598.friendly a.友好的，友谊的
1599.friendship n.友谊，友好
1600.frighten vt.使惊恐，吓唬
1601.frog n.蛙
1602.from prep.从…来；离开
1603.front a.前面的 n.前部
1604.frontier n.边境；边疆；新领域
1605.frost n.冰冻，严寒；霜
1606.frown vi.皱眉，蹙额
1607.fruit n.水果；果实；成果
1608.fruitful a.多产的；肥沃的
1609.fry vt.油煎，油炸，油炒
1610.fuel n.燃料 vt.给…加燃料
1611.fulfil vt.履行；满足；完成
1612.full a.满的；完全的
1613.fun n.乐趣，娱乐；玩笑
1614.function n.功能；职务；函数
1615.fund n.资金；基金；存款
1616.fundamental a.基础的，基本的
1617.funeral n.葬礼，丧礼，丧葬
1618.funny a.古怪的；滑稽的
1619.fur n.软毛；毛皮，裘皮
1620.furious a.狂怒的；狂暴的
1621.furnace n.炉子，熔炉；鼓风炉
1622.furnish vt.供应，提供；装备
1623.furniture n.家具；装置，设备
1624.further ad.更远地 a.更远的
1625.furthermore ad.而且，此外
1626.future n.将来，未来；前途 
1627.gain vt.获得；增加 n.增进
1628.gallery n.长廊，游廊；画廊
1629.gallon n.加仑
1630.game n.游戏；比赛；猎物
1631.gang n.一帮，一伙
1632.gap n.缺口；间隔；差距
1633.garage n.车库；加油站
1634.garbage n.垃圾，污物，废料
1635.garden n.花园，菜园；公园
1636.gardener n.园丁，花匠
1637.gas n.煤气；气体；汽油
1638.gaseous a.气体的，气态的
1639.gasoline n.(美)汽油
1640.gasp vi.气喘，喘息
1641.gate n.大门；篱笆门
1642.gather vi.聚集；集合vt.收集
1643.gauge vt.量，测量 n.量器
1644.gay a.快乐的；鲜明的
1645.gaze vi.凝视，盯，注视
1646.general a.总的；一般的n.将军
1647.generally ad.一般地；通常地
1648.generate vt.发生；引起；生殖
